"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"12/01/2024 07:00 - 12/01/2024 08:00","Sweden (SE)","21156.00","20785.00"
"12/01/2024 08:00 - 12/01/2024 09:00","Sweden (SE)","21711.00","21086.00"
"12/01/2024 09:00 - 12/01/2024 10:00","Sweden (SE)","21834.00","21099.00"
"12/01/2024 10:00 - 12/01/2024 11:00","Sweden (SE)","21619.00","20954.00"
"12/01/2024 11:00 - 12/01/2024 12:00","Sweden (SE)","21211.00","20646.00"
"12/01/2024 12:00 - 12/01/2024 13:00","Sweden (SE)","20748.00","20351.00"
"12/01/2024 13:00 - 12/01/2024 14:00","Sweden (SE)","20332.00","20010.00"
"12/01/2024 14:00 - 12/01/2024 15:00","Sweden (SE)","20445.00","19919.00"
"12/01/2024 15:00 - 12/01/2024 16:00","Sweden (SE)","20645.00","20122.00"
"12/01/2024 16:00 - 12/01/2024 17:00","Sweden (SE)","20945.00","20596.00"
"12/01/2024 17:00 - 12/01/2024 18:00","Sweden (SE)","20938.00","20858.00"
"12/01/2024 18:00 - 12/01/2024 19:00","Sweden (SE)","20885.00","20535.00"
"12/01/2024 19:00 - 12/01/2024 20:00","Sweden (SE)","20890.00","19984.00"
"12/01/2024 20:00 - 12/01/2024 21:00","Sweden (SE)","20320.00","19311.00"
"12/01/2024 21:00 - 12/01/2024 22:00","Sweden (SE)","19775.00","18678.00"
"12/01/2024 22:00 - 12/01/2024 23:00","Sweden (SE)","18719.00","18092.00"
"12/01/2024 23:00 - 13/01/2024 00:00","Sweden (SE)","17739.00","17550.00"
"13/01/2024 00:00 - 13/01/2024 01:00","Sweden (SE)","17186.00","17147.00"
"13/01/2024 01:00 - 13/01/2024 02:00","Sweden (SE)","17215.00","16960.00"
"13/01/2024 02:00 - 13/01/2024 03:00","Sweden (SE)","17341.00","16799.00"
"13/01/2024 03:00 - 13/01/2024 04:00","Sweden (SE)","17169.00","16738.00"
"13/01/2024 04:00 - 13/01/2024 05:00","Sweden (SE)","17289.00","16711.00"
"13/01/2024 05:00 - 13/01/2024 06:00","Sweden (SE)","17202.00","16734.00"
"13/01/2024 06:00 - 13/01/2024 07:00","Sweden (SE)","17619.00","17142.00"
"13/01/2024 07:00 - 13/01/2024 08:00","Sweden (SE)","18008.00","17565.00"
"13/01/2024 08:00 - 13/01/2024 09:00","Sweden (SE)","18442.00","17922.00"
"13/01/2024 09:00 - 13/01/2024 10:00","Sweden (SE)","18929.00","18352.00"
"13/01/2024 10:00 - 13/01/2024 11:00","Sweden (SE)","19207.00","18600.00"
"13/01/2024 11:00 - 13/01/2024 12:00","Sweden (SE)","19138.00","18674.00"
"13/01/2024 12:00 - 13/01/2024 13:00","Sweden (SE)","19107.00","18687.00"
"13/01/2024 13:00 - 13/01/2024 14:00","Sweden (SE)","18922.00","18605.00"
"13/01/2024 14:00 - 13/01/2024 15:00","Sweden (SE)","18715.00","18656.00"
